place_id,place_name,province,place_type,latitude,longitude,coordinate_system
dangjin,당진,충청남도,city,36.8930,126.6283,EPSG:4326
geumsan,금산,충청남도,county,36.1087,127.4881,EPSG:4326
buyeo,부여,충청남도,county,36.2754,126.9101,EPSG:4326
seocheon,서천,충청남도,county,36.0803,126.6918,EPSG:4326
cheongyang,청양,충청남도,county,36.4586,126.8022,EPSG:4326
hongseong,홍성,충청남도,county,36.6013,126.6608,EPSG:4326
yesan,예산,충청남도,county,36.6827,126.8489,EPSG:4326
taean,태안,충청남도,county,36.7456,126.2979,EPSG:4326
jeonju,전주,전북특별자치도,city,35.8242,127.1480,EPSG:4326
gunsan,군산,전북특별자치도,city,35.9677,126.7366,EPSG:4326
iksan,익산,전북특별자치도,city,35.9483,126.9576,EPSG:4326
jeongeup,정읍,전북특별자치도,city,35.5699,126.8559,EPSG:4326
namwon,남원,전북특별자치도,city,35.4164,127.3904,EPSG:4326
gimje,김제,전북특별자치도,city,35.8036,126.8809,EPSG:4326
wanju,완주,전북특별자치도,county,35.9047,127.1622,EPSG:4326
jinan,진안,전북특별자치도,county,35.7917,127.4249,EPSG:4326
muju,무주,전북특별자치도,county,36.0068,127.6608,EPSG:4326
jangsu,장수,전북특별자치도,county,35.6473,127.5212,EPSG:4326
imsil,임실,전북특별자치도,county,35.6179,127.2890,EPSG:4326
sunchang,순창,전북특별자치도,county,35.3743,127.1376,EPSG:4326
gochang,고창,전북특별자치도,county,35.4358,126.7021,EPSG:4326
buan,부안,전북특별자치도,county,35.7317,126.7330,EPSG:4326
mokpo,목포,전라남도,city,34.8118,126.3922,EPSG:4326
yeosu,여수,전라남도,city,34.7604,127.6622,EPSG:4326
suncheon,순천,전라남도,city,34.9506,127.4872,EPSG:4326
naju,나주,전라남도,city,35.0158,126.7108,EPSG:4326
gwangyang,광양,전라남도,city,34.9407,127.6959,EPSG:4326
damyang,담양,전라남도,county,35.3209,126.9883,EPSG:4326
gokseong,곡성,전라남도,county,35.2820,127.2920,EPSG:4326
gurye,구례,전라남도,county,35.2025,127.4629,EPSG:4326
goheung,고흥,전라남도,county,34.6112,127.2847,EPSG:4326
boseong,보성,전라남도,county,34.7711,127.0799,EPSG:4326
hwasun,화순,전라남도,county,35.0645,126.9865,EPSG:4326
jangheung,장흥,전라남도,county,34.6816,126.9069,EPSG:4326
gangjin,강진,전라남도,county,34.6419,126.7670,EPSG:4326
haenam,해남,전라남도,county,34.5733,126.5993,EPSG:4326
yeongam,영암,전라남도,county,34.8002,126.6968,EPSG:4326
muan,무안,전라남도,county,34.9905,126.4817,EPSG:4326
hampyeong,함평,전라남도,county,35.0659,126.5166,EPSG:4326
yeonggwang,영광,전라남도,county,35.2772,126.5120,EPSG:4326
jangseong,장성,전라남도,county,35.3019,126.7849,EPSG:4326
wando,완도,전라남도,county,34.3111,126.7551,EPSG:4326
jindo,진도,전라남도,county,34.4868,126.2635,EPSG:4326
sinan,신안,전라남도,county,34.8334,126.3515,EPSG:4326
pohang,포항,경상북도,city,36.0190,129.3435,EPSG:4326
gyeongju,경주,경상북도,city,35.8562,129.2247,EPSG:4326
gimcheon,김천,경상북도,city,36.1398,128.1136,EPSG:4326
andong,안동,경상북도,city,36.5684,128.7294,EPSG:4326
gumi,구미,경상북도,city,36.1195,128.3446,EPSG:4326
yeongju,영주,경상북도,city,36.8057,128.6241,EPSG:4326
yeongcheon,영천,경상북도,city,35.9733,128.9388,EPSG:4326
sangju,상주,경상북도,city,36.4109,128.1591,EPSG:4326
mungyeong,문경,경상북도,city,36.5865,128.1868,EPSG:4326
gyeongsan,경산,경상북도,city,35.8251,128.7415,EPSG:4326
uiseong,의성,경상북도,county,36.3527,128.6970,EPSG:4326
cheongsong,청송,경상북도,county,36.4358,129.0571,EPSG:4326
yeongyang,영양,경상북도,county,36.6667,129.1124,EPSG:4326
yeongdeok,영덕,경상북도,county,36.4151,129.3656,EPSG:4326
cheongdo,청도,경상북도,county,35.6473,128.7348,EPSG:4326
goryeong,고령,경상북도,county,35.7262,128.2630,EPSG:4326
seongju,성주,경상북도,county,35.9190,128.2828,EPSG:4326
chilgok,칠곡,경상북도,county,35.9950,128.4017,EPSG:4326
yecheon,예천,경상북도,county,36.6576,128.4529,EPSG:4326
bonghwa,봉화,경상북도,county,36.8925,128.7324,EPSG:4326
uljin,울진,경상북도,county,36.9931,129.4006,EPSG:4326
ulleung,울릉,경상북도,county,37.4844,130.9057,EPSG:4326
gunwi,군위,대구광역시,county,36.2429,128.5728,EPSG:4326
changwon,창원,경상남도,city,35.2279,128.6811,EPSG:4326
jinju,진주,경상남도,city,35.1802,128.1076,EPSG:4326
tongyeong,통영,경상남도,city,34.8544,128.4331,EPSG:4326
sacheon,사천,경상남도,city,35.0038,128.0642,EPSG:4326
gimhae,김해,경상남도,city,35.2285,128.8894,EPSG:4326
miryang,밀양,경상남도,city,35.5038,128.7466,EPSG:4326
geoje,거제,경상남도,city,34.8806,128.6216,EPSG:4326
yangsan,양산,경상남도,city,35.3350,129.0372,EPSG:4326
uiryeong,의령,경상남도,county,35.3192,128.2611,EPSG:4326
haman,함안,경상남도,county,35.2725,128.4066,EPSG:4326
changnyeong,창녕,경상남도,county,35.5444,128.4922,EPSG:4326
goseong_gyeongnam,경남 고성,경상남도,county,34.9730,128.3223,EPSG:4326
namhae,남해,경상남도,county,34.8377,127.8926,EPSG:4326
hadong,하동,경상남도,county,35.0672,127.7513,EPSG:4326
sancheong,산청,경상남도,county,35.4156,127.8735,EPSG:4326
hamyang,함양,경상남도,county,35.5205,127.7252,EPSG:4326
geochang,거창,경상남도,county,35.6873,127.9139,EPSG:4326
hapcheon,합천,경상남도,county,35.5666,128.1658,EPSG:4326
jeju,제주,제주특별자치도,city,33.4996,126.5312,EPSG:4326
seogwipo,서귀포,제주특별자치도,city,33.2533,126.5618,EPSG:4326
